"","workerid","story_index","story","language","education","assess","OS","Browser","comments","lab_name","mouse_name","age","gender","enjoyment","screenW","screenH","variable","rating","version"
"103",5,1,"story1","English",3,"Yes","Mac","Chrome","","Florence","Wrean",31,"Female",2,1280,800,"A",0.01,"counterfactual"
"104",5,1,"story1","English",3,"Yes","Mac","Chrome","","Florence","Wrean",31,"Female",2,1280,800,"B",0.99,"counterfactual"
"105",5,2,"story2","English",3,"Yes","Mac","Chrome","","Ilana","Weyland",31,"Female",2,1280,800,"B",0.05,"counterfactual"
"106",5,2,"story2","English",3,"Yes","Mac","Chrome","","Ilana","Weyland",31,"Female",2,1280,800,"C",0.065,"counterfactual"
"107",5,2,"story2","English",3,"Yes","Mac","Chrome","","Ilana","Weyland",31,"Female",2,1280,800,"A",0.03,"counterfactual"
"108",5,6,"story6","English",3,"Yes","Mac","Chrome","","Frank","Snarp",31,"Female",2,1280,800,"C",0.95,"counterfactual"
"109",5,6,"story6","English",3,"Yes","Mac","Chrome","","Frank","Snarp",31,"Female",2,1280,800,"B",0.965,"counterfactual"
"110",5,6,"story6","English",3,"Yes","Mac","Chrome","","Frank","Snarp",31,"Female",2,1280,800,"A",0.08,"counterfactual"
"111",6,2,"story2","English",3,"Yes","Windows","Chrome","","Martha","Muckenhoupt",29,"Male",2,1920,1080,"C",0.09,"counterfactual"
"112",6,2,"story2","English",3,"Yes","Windows","Chrome","","Martha","Muckenhoupt",29,"Male",2,1920,1080,"A",0.085,"counterfactual"
"113",6,2,"story2","English",3,"Yes","Windows","Chrome","","Martha","Muckenhoupt",29,"Male",2,1920,1080,"B",0,"counterfactual"
"114",6,1,"story1","English",3,"Yes","Windows","Chrome","","Harold","Nanber",29,"Male",2,1920,1080,"A",0.005,"counterfactual"
"115",6,1,"story1","English",3,"Yes","Windows","Chrome","","Harold","Nanber",29,"Male",2,1920,1080,"B",0.755,"counterfactual"
"116",6,6,"story6","English",3,"Yes","Windows","Chrome","","Frank","Snarp",29,"Male",2,1920,1080,"A",0.755,"counterfactual"
"117",6,6,"story6","English",3,"Yes","Windows","Chrome","","Frank","Snarp",29,"Male",2,1920,1080,"B",1,"counterfactual"
